time,size_sent,size_rcv 
0,30.38359375,204.23515625 
10,94.9875,618.09921875 
20,121.23671875,776.16328125 
30,161.34765625,1074.2921875 
40,230.10078125,1493.553125 
50,345.96015625,2241.8046875 
60,467.94375,3039.46875 
70,640.39765625,4150.88125 
80,820.465625,5311.19140625 
90,1100.31328125,7118.72421875 
100,1455.190625,9377.4953125 
110,1790.6453125,11537.33125 
120,2306.80078125,14890.70234375 
130,2963.13671875,19114.68984375 
140,3642.56015625,23416.4109375 
150,4390.0265625,27991.19453125 
160,5257.2828125,33121.82734375 
170,6437.2625,39001.4390625 
180,8058.01015625,45321.54453125 
190,9873.28359375,51842.75859375 
200,11695.2671875,58186.5375 
210,14222.92265625,65061.26171875 
220,17126.2890625,73732.02578125 
230,20024.4546875,81960.85234375 
240,21509.95,89069.7140625 
242,21511.975,89072.77421875 
