time,502,200,302 
170,81.1,161,44.8 
180,278.6,163.4,47.5 
190,336.9,171.8,56.2 
200,347,165.8,51.1 
210,756,156.2,49.3 
220,869.1,193.4,53 
230,876.5,187.3,53.6 
240,218.1,189,73.9 
242,0,0.2,0.2 
