time,page 
0,141.5717727272727 
10,110.04185416666662 
20,109.12114999999999 
30,128.63803571428573 
40,97.40221153846151 
50,105.33284883720928 
60,110.69261797752813 
70,110.38748031496061 
80,105.71556716417912 
90,112.70689903846157 
100,115.42954198473275 
110,115.96709638554208 
120,171.55460629921268 
130,140.0880533880904 
140,139.4626840000001 
150,643.1231977401138 
160,2618.87951438849 
170,3698.619155021838 
180,2560.453690976507 
190,1994.5763670886047 
200,2002.2425990415318 
210,1273.7242365761258 
220,1084.3093708288486 
230,1021.4620303111565 
240,1683.0691686678103 
242,23.8935 
