time,cpu@tsung_controller@ip-172-31-45-17 
0,1.6618216869673221 
10,0.7492507492507493 
20,0.6493506493506493 
30,0.3494757863205192 
40,0.5002501250625313 
50,0.5002501250625313 
60,0.949050949050949 
70,0.9018036072144289 
80,1.097804391217565 
90,1.3479780329505742 
100,1.996007984031936 
110,2.3952095808383236 
120,1.848151848151848 
130,4.0439340988517225 
140,4.922923918448533 
150,4.482071713147411 
160,5.271084337349398 
170,6.836327345309382 
180,8.266533066132265 
190,11.907164480322905 
200,13.609172482552342 
210,12.133468149646106 
220,20.66365007541478 
230,21.32725430597771 
240,21.70818505338078 
242,8.532934131736528 
