time,users,connected 
0,1,0 
10,1,0 
20,1,0 
30,1,0 
40,1,0 
50,1,0 
60,2,0 
70,2,0 
80,2,0 
90,3,0 
100,3,1 
110,3,-1 
120,3,0 
130,3,0 
140,4,1 
150,6,2 
160,6,-1 
170,7,-2 
180,10,0 
190,10,1 
200,13,2 
210,172,165 
220,198,6 
230,198,2 
240,199,17 
250,201,0 
260,201,-2 
270,206,2 
280,207,-2 
290,207,2 
300,208,-193 
