time,page 
0,0.6 
10,1.2 
20,0.6 
30,1.6 
40,0.9 
50,2.2 
60,2.7 
70,3.6 
80,4.7 
90,6.1 
100,8.9 
110,10.2 
120,9 
130,14 
140,16.9 
150,27.9 
160,31.2 
170,32.2 
180,49.4 
190,66.5 
200,63.7 
210,87.5 
220,123.5 
230,118.7 
240,183.5 
250,242.8 
260,242.4 
270,394.9 
280,499.2 
290,517 
300,220.2 
