time,cpu@tsung_controller@ip-172-31-50-238 
0,2.930779028359024 
10,0.3001500750375188 
20,0.15030060120240482 
30,0.1500750375187594 
40,0.15022533800701052 
50,0.6954793840039741 
60,0.30045067601402103 
70,0.250501002004008 
80,0.6519558676028084 
90,0.7511266900350526 
100,1.5992003998000999 
110,1.5523284927391086 
120,1.0040160642570282 
130,2.5037556334501754 
140,2.413273001508296 
150,2.15971873430437 
160,4.730749874182185 
170,4.10126582278481 
180,4.766734279918864 
190,7.951070336391437 
200,9.489427539969055 
210,8.35897435897436 
220,13.141361256544503 
230,13.152400835073069 
240,12.723449001051526 
242,2.807017543859649 
