time,users,connected 
0,0,0 
10,0,0 
20,0,0 
30,0,0 
40,0,0 
50,0,0 
60,1,0 
70,0,0 
80,0,0 
90,0,0 
100,0,1 
110,1,0 
120,0,0 
130,1,2 
140,0,1 
150,2,3 
160,2,3 
170,1,1 
180,139,135 
190,192,187 
200,191,191 
210,192,189 
220,194,192 
230,193,193 
238,0,0 
