time,page 
0,24.333305000490864 
10,1.4880732094030893 
20,2.7310853116649145 
30,8.13135791488728 
40,1.7104200682631627 
50,1.949857103898536 
60,6.004299878055999 
70,7.3893807507028635 
80,3.7912527712013278 
90,11.44966338167123 
100,5.35379263793223 
110,15.171788272844958 
120,10.770795890038737 
130,11.408233814790902 
140,11.398829394862721 
150,23.307244610899634 
160,34.74976692737674 
170,36.39109267665905 
180,727.740228898512 
190,953.2990684887131 
200,1045.1661223897565 
210,1249.5454694050059 
220,1073.0329183065037 
230,1092.5935551639996 
238,1102.4269763321718 
