time,freemem@tsung_controller@ip-172-31-44-99 
0,683.52734375 
10,684.125 
20,684.125 
30,684.125 
40,684.125 
50,684.125 
60,684.125 
70,684.125 
80,684.6484375 
90,684.6484375 
100,684.6484375 
110,684.6484375 
120,684.6484375 
130,684.6484375 
140,684.6484375 
150,684.6484375 
160,684.6484375 
170,684.6484375 
180,684.6484375 
190,684.6484375 
200,684.6484375 
210,684.6484375 
220,684.6484375 
230,684.6484375 
238,684.6484375 
