time,connect,request 
0,0.9,4.5 
10,0.9,4.5 
20,0.7,3.5 
30,2,10 
40,1.1,5.5 
50,2.1,10.5 
60,3.8,19 
70,3.6,18 
80,4.6,23 
90,7.8,39 
100,6.4,31.7 
110,8.8,44.3 
120,12.6,63 
130,16.4,81.2 
140,16.4,82.4 
150,26.7,133.2 
160,33.6,167.8 
170,31.6,158.6 
180,55.2,234.3 
190,64.3,303.7 
200,61.6,308.8 
210,111.6,557.1 
220,132,665 
230,119.9,591.3 
238,26.2,194.1 
