time,users_count,finish_users_count 
0,15,13 
10,24,18 
20,30,30 
30,46,40 
40,59,58 
50,78,75 
60,117,108 
70,166,155 
80,201,198 
90,263,246 
100,343,330 
110,424,413 
120,564,530 
130,701,674 
140,853,823 
150,1116,1058 
160,1449,1367 
170,1735,1666 
180,2303,2000 
190,2943,2633 
200,3605,3278 
210,4700,4261 
