time,users,connected 
0,5,3 
10,6,2 
20,6,-5 
30,12,10 
40,12,-9 
50,12,2 
60,12,5 
70,13,5 
80,15,-10 
90,24,12 
100,24,-1 
110,24,-4 
120,40,25 
130,40,-8 
140,43,3 
150,77,30 
160,83,20 
170,83,-12 
180,303,231 
190,338,9 
200,343,21 
210,466,105 
