time,page 
0,110.82676470588235 
10,54.354099999999995 
20,52.55064285714286 
30,37.627269230769244 
40,34.796151515151514 
50,32.0444375 
60,32.220899999999986 
70,34.009514563106805 
80,32.824385714285704 
90,32.902353982300895 
100,32.40556774193546 
110,31.64144378698225 
120,32.71468235294119 
130,31.42334234234234 
140,31.548417445482848 
150,31.417271662763465 
160,31.8189598715891 
170,31.88987479131887 
180,32.237349896480396 
190,30.69853775038524 
200,30.919019215372252 
210,32.30030419977308 
220,32.285322175732105 
230,32.235101033295045 
240,41.763265969474354 
250,44.09730916887873 
260,43.379063829787235 
270,539.2957081015284 
280,1007.3170865826203 
290,1031.8883974577113 
300,982.3240195778923 
310,0 
320,0 
330,0 
340,0 
350,0 
354,0 
