time,cpu@tsung_controller@ip-172-31-53-64 
0,5.217221763464538 
10,5.217221763464538 
20,5.217221763464538 
30,5.217221763464538 
40,5.217221763464538 
50,5.217221763464538 
60,5.217221763464538 
70,5.217221763464538 
80,5.217221763464538 
90,5.217221763464538 
100,5.217221763464538 
110,5.217221763464538 
120,5.217221763464538 
130,5.217221763464538 
140,5.217221763464538 
150,5.217221763464538 
160,5.217221763464538 
170,5.217221763464538 
180,5.217221763464538 
190,8.20253164556962 
200,10.534274193548388 
210,10.534274193548388 
220,15.415617128463477 
230,19.18987341772152 
240,19.18987341772152 
250,29.033942558746734 
260,33.45473465140479 
270,33.45473465140479 
280,47.43521946060286 
290,56.574122577265584 
300,56.574122577265584 
310,56.574122577265584 
320,56.574122577265584 
330,56.574122577265584 
340,56.574122577265584 
350,56.574122577265584 
354,56.574122577265584 
