time,size_sent,size_rcv 
0,13.67421875,172.10078125 
10,29.50546875,373.29453125 
20,40.65859375,516.0140625 
30,61.3828125,780.4625 
40,87.76875,1111.82265625 
50,113.26796875,1434.12109375 
60,145.26328125,1835.6578125 
70,227.409375,2873.77265625 
80,283.23203125,3577.8296875 
90,374.20625,4724.8828125 
100,497.61015625,6281.846875 
110,632.15546875,7982.09296875 
120,835.23984375,10546.45859375 
130,1100.31640625,13894.19609375 
140,1355.7203125,17118.8734375 
150,1697.81171875,21445.8390625 
160,2192.12734375,27695.6984375 
170,2669.23046875,33707.80390625 
180,3444.0046875,43469.0453125 
190,4477.3671875,56423.94375 
200,5470.13984375,68878.22421875 
210,6878.4953125,86591.5 
220,8786.725,110490.4359375 
230,10865.96171875,136530.925 
240,13693.78828125,172136.1203125 
250,17599.54140625,221263.65625 
260,21375.17421875,268823.88125 
270,26367.4984375,326594.81953125 
280,33563.31640625,393365.92578125 
290,40585.915625,461191.025 
300,45296.82421875,512920.8015625 
310,45296.82421875,512920.8015625 
320,45296.82421875,512920.8015625 
330,45296.82421875,512920.8015625 
340,45296.82421875,512920.8015625 
350,45296.82421875,512920.8015625 
354,45296.82421875,512920.8015625 
