time,page 
0,2.8 
10,5.8 
20,3.4 
30,2.8 
40,7.4 
50,6.4 
60,11 
70,16.2 
80,14.8 
90,23.9 
100,30.4 
110,30.7 
120,41.7 
130,56.8 
140,52.7 
150,56.7 
160,110 
170,118.6 
180,167.7 
190,202.3 
200,205 
210,346.8 
220,350.7 
230,396.8 
241,185.3 
243,16.3 
