time,users,connected 
0,4,2 
10,6,3 
20,6,-5 
30,6,4 
40,7,1 
50,8,-2 
60,14,10 
70,15,-8 
80,15,4 
90,24,12 
100,26,2 
110,28,-6 
120,96,71 
130,108,11 
140,147,40 
150,284,142 
160,350,56 
170,350,-21 
180,397,68 
190,397,-4 
200,402,-6 
210,538,159 
220,542,-35 
230,547,-3 
241,547,-391 
243,547,-104 
