time,nomatch,match,match_stop 
160,22.3,6.5,22.3 
170,21.3,15.8,21.3 
180,33.3,12.1,33.3 
190,49.6,13.3,49.6 
200,52.3,13.4,52.3 
210,85.6,13.2,85.6 
220,102.3,13.2,102.3 
230,114.2,14.2,114.2 
241,44.1,26.8,44.1 
243,0,9.6,0 
