time,nomatch,match,match_stop 
160,223,904,223 
170,436,1062,436 
180,769,1183,769 
190,1265,1316,1265 
200,1788,1450,1788 
210,2644,1582,2644 
220,3667,1714,3667 
230,4809,1856,4809 
241,5250,2124,5250 
243,5250,2220,5250 
