time,cpu@tsung_controller@ip-172-31-45-17 
0,4.318938934228288 
10,4.318938934228288 
20,4.318938934228288 
30,4.318938934228288 
40,4.318938934228288 
50,4.318938934228288 
60,4.318938934228288 
70,4.318938934228288 
80,4.318938934228288 
90,4.318938934228288 
100,4.318938934228288 
110,4.318938934228288 
120,4.318938934228288 
130,4.318938934228288 
140,4.318938934228288 
150,4.318938934228288 
160,4.318938934228288 
170,7.132667617689016 
180,8.271028037383179 
190,10.305719921104536 
200,11.07799304520616 
210,12.073231073725879 
220,18.450912678835717 
230,19.502681618722576 
241,19.502681618722576 
243,19.502681618722576 
