time,users_count,finish_users_count 
0,1.2,0.8 
10,1,1.1 
20,0.8,1 
30,2,1.4 
40,2,2.4 
50,1.7,1.3 
60,3.4,2.4 
70,4.2,4.5 
80,3.1,4 
90,8.8,2.2 
100,6.4,1.8 
110,7.8,5.3 
120,14.3,5.9 
130,16.4,16.3 
140,17.7,18 
150,23.2,21 
160,31.3,30.2 
170,31.4,31.2 
180,54.2,48.3 
190,59.4,61.1 
200,63.9,62.5 
210,103.1,92.8 
220,129.7,128.1 
230,126,126.2 
240,27.2,61.4 
248,0,9 
