time,cpu@tsung_controller@ip-172-31-50-238 
0,2.285558201381825 
10,0.5519317611640743 
20,0.49975012493753124 
30,0.3001500750375188 
40,0.65 
50,0.798801797304044 
60,0.6503251625812907 
70,1.2018027040560841 
80,1.2518778167250877 
90,0.8504252126063032 
100,1.3533834586466165 
110,1.7008504252126064 
120,1.7017017017017018 
130,1.6541353383458646 
140,3.0545818728092136 
150,2.679474216380182 
160,4.597701149425287 
170,5.390428211586902 
180,4.742684157416751 
190,7.892057026476579 
200,9.620253164556962 
210,10.355329949238579 
220,16.40506329113924 
230,19.460010188487008 
240,18.93551688843398 
248,5.315947843530592 
