time,users,connected 
0,10,7 
10,10,-4 
20,10,-1 
30,11,3 
40,12,6 
50,18,4 
60,24,8 
70,30,3 
80,31,3 
90,65,35 
100,137,71 
110,192,55 
120,288,93 
130,296,-1 
140,296,-5 
150,381,92 
160,381,6 
170,390,-28 
180,546,197 
190,575,16 
200,575,-55 
210,915,361 
220,918,22 
230,930,-24 
240,930,-845 
245,930,-19 
