time,cpu@tsung_controller@ip-172-31-50-238 
0,2.0498370422435035 
10,0.7000000000000001 
20,0.19990004997501248 
30,0.2001000500250125 
40,0.35035035035035034 
50,0.35052578868302453 
60,0.45090180360721444 
70,0.7003501750875438 
80,0.9495252373813095 
90,0.5524861878453038 
100,1.6475287069395907 
110,1.5992003998000999 
120,1.3527054108216432 
130,2.3523523523523524 
140,2.3618090452261304 
150,2.905811623246493 
160,4.407294832826747 
170,5.9989832231825115 
180,6.21840242669363 
190,8.251676121712222 
200,10.35015447991761 
210,9.834368530020704 
220,16.811003565970452 
230,20.673329826407155 
240,19.590336134453782 
245,7.335710646968925 
