time,page 
0,113.82572222222221 
10,87.4087142857143 
20,73.16414814814819 
30,102.38162500000003 
40,82.02726744186059 
50,80.59323529411762 
60,83.66210101010098 
70,86.61639436619717 
80,81.82220689655172 
90,118.19220183486244 
100,205.90244352617083 
110,104.10541104294477 
120,451.39498039215687 
130,1733.4146535087723 
140,3160.2656244444433 
150,2813.6574841149754 
160,2132.021663025208 
170,1981.5911146822523 
180,1242.8267080219243 
190,1048.2770488527015 
200,920.565359212052 
210,686.07591883902 
220,552.5113396379926 
230,499.87487039238766 
