time,page 
0,1.8 
10,4.2 
20,5.4 
30,2.4 
40,8.6 
50,10.2 
60,9.9 
70,14.2 
80,17.4 
90,21.8 
100,36.3 
110,32.6 
120,35.7 
130,45.6 
140,45 
150,66.1 
160,119 
170,136.9 
180,200.7 
190,270.2 
200,258.9 
210,372.1 
220,491.7 
230,504.6 
