time,connect,request 
0,0.805,5.475 
10,0.805,4.291 
20,0.773,4.291 
30,0.773,4.163 
40,0.773,4.163 
50,0.71,4.136 
60,0.71,4.136 
70,0.648,4.136 
80,0.648,4.136 
90,0.648,4.081 
100,0.602,3.892 
110,0.602,3.892 
120,0.602,3.892 
130,0.602,3.892 
140,0.557,3.892 
150,0.557,0.268 
160,0.557,0.261 
170,0.557,0.254 
180,0.557,0.254 
190,0.557,0.249 
200,0.557,0.249 
210,0.541,0.247 
220,0.389,0.247 
230,0.389,0.247 
