time,users,connected 
0,2,2 
10,7,4 
20,7,-6 
30,11,5 
40,11,0 
50,11,-4 
60,16,9 
70,21,0 
80,26,-4 
90,64,58 
100,75,-12 
110,75,13 
120,144,78 
130,236,83 
140,239,4 
150,260,23 
160,275,15 
170,275,-8 
180,328,56 
190,335,9 
200,336,-10 
210,461,139 
220,472,-12 
230,488,-8 
240,488,-242 
249,488,-192 
