time,users_count,finish_users_count 
0,0.3,0.2 
10,1.4,0.9 
20,0.9,1.5 
30,2.2,1.6 
40,3,3 
50,0.9,1.4 
60,3,1.9 
70,4.5,4.9 
80,4.5,5 
90,6.5,0.4 
100,6.1,7.3 
110,7.7,6.6 
120,13.9,5.8 
130,16.1,7.8 
140,14.7,14.6 
150,26.3,23.6 
160,35.9,34.9 
170,29.6,30.1 
180,51.7,45.8 
190,63.5,63 
200,61,61.7 
210,102.3,88.9 
220,125.4,125.9 
230,123.5,124.8 
240,42.7,68 
249,0,18 
