time,users_count,finish_users_count 
0,3,2 
10,17,11 
20,26,26 
30,48,42 
40,78,72 
50,87,86 
60,117,105 
70,162,154 
80,207,204 
90,272,208 
100,333,281 
110,410,347 
120,549,405 
130,710,483 
140,857,629 
150,1120,865 
160,1479,1214 
170,1775,1515 
180,2292,1973 
190,2927,2603 
200,3537,3220 
210,4560,4109 
220,5814,5368 
230,7049,6616 
240,7476,7296 
249,7476,7476 
