time,nomatch,match,match_stop 
130,5.5,2.2,5.5 
140,12,4.1,12 
150,15.1,8.6,15.1 
160,29.2,4.8,29.2 
170,25.1,5,25.1 
180,38.3,7.9,38.3 
190,55.9,6.4,55.9 
200,56.1,5.5,56.1 
210,81.1,7.3,81.1 
220,116.7,9.6,116.7 
230,115.7,9.6,115.7 
240,61.1,7.8,61.1 
249,0,15.7,0 
