time,users,connected 
0,1,0 
10,2,0 
20,2,1 
30,3,-1 
40,3,0 
50,3,0 
60,3,0 
70,3,0 
80,3,1 
90,4,1 
100,4,-1 
110,5,0 
120,6,-1 
130,8,4 
140,9,-3 
150,77,70 
160,156,83 
170,194,35 
180,197,3 
190,197,1 
200,197,0 
210,200,-1 
220,200,1 
230,200,1 
240,201,-1 
250,201,0 
260,203,0 
270,208,0 
