time,cpu@tsung_controller@ip-172-31-59-214 
0,3.6144487956212132 
10,3.6144487956212132 
20,3.6144487956212132 
30,3.6144487956212132 
40,3.6144487956212132 
50,3.6144487956212132 
60,3.6144487956212132 
70,3.6144487956212132 
80,3.6144487956212132 
90,3.6144487956212132 
100,3.6144487956212132 
110,3.6144487956212132 
120,3.6144487956212132 
130,3.6144487956212132 
140,3.6144487956212132 
150,3.6144487956212132 
160,4.923682914820286 
170,4.923682914820286 
180,4.923682914820286 
190,7.008216529724505 
200,7.524271844660194 
210,7.524271844660194 
220,11.59351145038168 
230,13.472485768500949 
240,13.472485768500949 
250,19.24510717614166 
260,19.24510717614166 
270,19.24510717614166 
