time,page 
0,78.7702 
10,71.57593333333332 
20,69.42988888888888 
30,75.5859411764706 
40,69.38768749999998 
50,67.5603888888889 
60,68.77987096774193 
70,70.71929268292679 
80,74.58422 
90,87.72314864864862 
100,82.38107894736844 
110,84.00857954545455 
120,107.9903983739837 
130,131.67167320261441 
140,161.4389502762429 
150,1087.9990533980585 
160,3578.01526859504 
170,5765.904666666663 
180,3021.2839526226758 
190,2920.2363237951854 
200,2862.097260804772 
210,1714.0709717925374 
220,1606.4489983673436 
230,1559.401450163399 
240,888.7073793103476 
250,815.3055029142386 
260,803.0315643939405 
270,441.23872934213483 
