time,502,200 
170,0.4,24.2 
180,35,24.1 
190,42.2,24.2 
200,43.1,24 
210,86.4,23.5 
220,98.4,24.1 
230,98.9,23.5 
240,185.8,23 
250,215.9,24.3 
260,214,23.6 
270,415.6,23.7 
