time,connect,request 
0,3.557084907617472,8.116210184562746 
10,0.17651880604878586,13.328324348127522 
20,0.05007753987567673,6.3286413399620445 
30,0.9877800789522939,15.380385860954013 
40,0.25650216251525043,8.47542014975327 
50,0.07005949852327907,4.686430318114546 
60,1.272385885583232,6.5822814347744565 
70,0.197377988125099,8.79470638798829 
80,0.10185954249622083,11.712622671784484 
90,0.12468557147213677,20.853784550999972 
100,0.4755971767040769,18.685232908962856 
110,0.400895361545991,24.1313635562639 
120,0.5492033274484128,35.96102351445453 
130,0.3835990785613894,59.90003021612929 
140,0.5642686756073589,79.28678751727607 
150,0.7570457435478966,660.4256540228482 
160,0.5448531192899605,709.8665852424432 
170,0.3888457633456851,1044.0660152300684 
180,0.7615911987044245,3649.8145508878706 
190,0.7079780219894566,3854.3254422309287 
200,0.8403254743549117,3833.699789827703 
210,0.5455031304033093,3284.9591625205576 
220,0.7981472121879656,3242.9924845147348 
230,0.5537556556804492,3195.660100312683 
240,0.5519937557726937,2520.99485947921 
250,0.3913111760345912,2425.4897499546546 
260,0.48095694543577905,2413.2069082534495 
270,0.5820528417537565,1840.5252062191428 
