time,502,200 
170,4,1587 
180,354,1828 
190,776,2070 
200,1207,2310 
210,2071,2545 
220,3055,2786 
230,4044,3021 
240,5902,3251 
250,8061,3494 
260,10201,3730 
270,14357,3967 
