time,cpu@tsung_controller@ip-172-31-59-214 
0,3.6144487956212132 
10,0.25012506253126565 
20,0.448654037886341 
30,0.24962556165751376 
40,0.5483549351944167 
50,0.34930139720558884 
60,0.4985044865403789 
70,0.499001996007984 
80,0.7470119521912351 
90,0.6480558325024925 
100,0.8470353761833582 
110,1.093983092988563 
120,1.0468594217347957 
130,1.488833746898263 
140,2.2266204849084614 
150,2.9585798816568047 
160,4.923682914820286 
170,3.781925343811395 
180,3.6836935166994107 
190,7.008216529724505 
200,7.524271844660194 
210,7.083939835031538 
220,11.59351145038168 
230,13.472485768500949 
240,12.32876712328767 
250,19.24510717614166 
260,19.210897134805073 
270,19.16588566073102 
