time,users_count,finish_users_count 
0,0.6,0.6 
10,1.4,1.4 
20,1,1 
30,1.8,1.7 
40,1.4,1.5 
50,1.9,1.9 
60,3.2,3.2 
70,4,3.9 
80,5.2,5.3 
90,7.3,7.3 
100,7.5,7.5 
110,8.8,8.8 
120,12.5,12.5 
130,15.6,15.5 
140,17.9,17.8 
150,27.8,20.9 
160,32.4,24.3 
170,28.2,24.5 
180,59.4,59 
190,66.4,66.4 
200,67.3,67.3 
210,109.9,109.9 
220,122.6,122.5 
230,122,122.2 
240,221.6,221.5 
250,238.7,238.7 
260,238.7,238.7 
270,447.8,447.7 
