time,error_connection_closed,error_send_einval 
190,0.9, 
200,16.8,0.8 
210,20.9,1.2 
220,9.5,0.5 
230,15.4,0.8 
240,0.2,0 
250,0,0 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
293,0,0 
