time,page 
0,67.405 
10,36.563842105263156 
20,33.68226315789473 
30,32.68327272727274 
40,32.98891666666666 
50,33.62695000000001 
60,34.07622580645162 
70,34.03064130434783 
80,34.17404494382021 
90,33.27827826086956 
100,33.36363354037264 
110,32.53479032258061 
120,35.3854523809524 
130,34.193274566473995 
140,33.940686206896515 
150,40.13167722772276 
160,37.471819420783596 
170,39.41640088105726 
180,68.4238007928643 
190,81.18793979671632 
200,53.641202849958084 
210,800.8696356083095 
220,1053.201760511129 
230,1020.4882683413078 
238,1028.9474788321168 
