time,users,connected 
0,4,2 
10,5,1 
20,5,1 
30,5,0 
40,6,0 
50,8,-2 
60,12,6 
70,16,2 
80,16,-3 
90,24,9 
100,25,7 
110,25,-10 
120,34,14 
130,47,2 
140,47,-2 
150,86,55 
160,86,-26 
170,90,21 
180,144,64 
190,160,-26 
200,160,18 
210,522,381 
220,532,3 
230,534,-7 
238,553,-510 
