time,nomatch,match,match_stop 
220,4,4.9,4 
230,5.3,8.7,5.3 
240,12.2,7.5,12.2 
250,12.9,7.4,12.9 
260,15.8,5.7,15.8 
270,31.2,6.1,31.2 
280,40.7,6.7,40.7 
290,40.3,7,40.3 
300,21,8.9,21 
310,0,0.3,0 
320,0,0,0 
330,0,0,0 
340,0,0,0 
350,0,0,0 
353,0,0,0 
