time,users_count,finish_users_count 
0,5,4 
10,18,11 
20,29,22 
30,46,36 
40,61,54 
50,77,69 
60,105,91 
70,142,123 
80,176,157 
90,239,201 
100,316,280 
110,385,347 
120,519,460 
130,678,596 
140,842,748 
150,1092,956 
160,1401,1246 
170,1709,1552 
180,2227,1961 
190,2845,2497 
200,3437,3044 
210,4502,3524 
220,5750,4091 
230,7026,5312 
240,9188,7042 
250,11010,8910 
260,13313,11047 
270,17714,14438 
280,22807,19077 
290,27983,24110 
300,29308,27702 
310,29308,29046 
320,29308,29308 
330,29308,29308 
340,29308,29308 
350,29308,29308 
353,29308,29308 
