time,users_count,finish_users_count 
0,0.5,0.4 
10,1.3,0.7 
20,1.1,1.1 
30,1.7,1.4 
40,1.5,1.8 
50,1.6,1.5 
60,2.8,2.2 
70,3.7,3.2 
80,3.4,3.4 
90,6.3,4.4 
100,7.7,7.9 
110,6.9,6.7 
120,13.4,11.3 
130,15.9,13.6 
140,16.4,15.2 
150,25,20.8 
160,30.9,29 
170,30.8,30.6 
180,51.8,40.9 
190,61.8,53.6 
200,59.2,54.7 
210,106.5,48 
220,124.8,56.7 
230,127.6,122.1 
240,216.2,173 
250,182.2,186.8 
260,230.3,213.7 
270,440.1,339.1 
280,509.3,463.9 
290,517.6,503.3 
300,132.5,359.2 
310,0,134.4 
320,0,26.2 
330,0,0 
340,0,0 
350,0,0 
353,0,0 
