time,load@tsung_controller@ip-172-31-44-199 
0,0.0 
10,0.0 
20,0.0 
30,0.0 
40,0.0 
50,0.0 
60,0.0 
70,0.0 
80,0.0 
90,0.0 
100,0.0 
110,0.0 
120,0.078125 
130,0.0703125 
140,0.05859375 
150,0.2109375 
160,0.171875 
170,0.1484375 
180,0.12109375 
190,0.1015625 
200,0.16015625 
210,0.140625 
220,0.19921875 
230,0.16015625 
240,0.140625 
250,0.26953125 
260,0.53125 
270,0.44921875 
280,0.5390625 
290,0.62109375 
300,0.828125 
310,0.78125 
320,0.66015625 
330,0.55859375 
340,0.46875 
350,0.3984375 
353,0.33984375 
