time,cpu@tsung_controller@ip-172-31-44-199 
0,2.5345487358588303 
10,2.5345487358588303 
20,2.5345487358588303 
30,2.5345487358588303 
40,2.5345487358588303 
50,2.5345487358588303 
60,2.5345487358588303 
70,2.5345487358588303 
80,2.5345487358588303 
90,2.5345487358588303 
100,2.5345487358588303 
110,2.5345487358588303 
120,2.5345487358588303 
130,2.5449101796407185 
140,3.338315894369706 
150,3.6054081121682526 
160,5.394605394605394 
170,7.396301849075463 
180,7.396301849075463 
190,12.338949454905848 
200,12.770236299648063 
210,13.627254509018035 
220,15.29888551165147 
230,19.10055583628095 
240,24.610748367654445 
250,30.753968253968257 
260,30.753968253968257 
270,32.19277108433735 
280,52.37366003062787 
290,58.69901910170366 
300,61.062403300670454 
310,61.062403300670454 
320,61.062403300670454 
330,61.062403300670454 
340,61.062403300670454 
350,61.062403300670454 
353,61.062403300670454 
