time,size_sent,size_rcv 
0,4.30859375,27.4625 
10,27.65234375,143.02109375 
20,72.3515625,285.41328125 
30,114.05859375,429.8546875 
40,172.05234375,648.6 
50,252.28125,899.91171875 
60,331.7484375,1147.5515625 
70,436.546875,1573.44296875 
80,592.978125,2100.7359375 
90,771.42109375,2679.6921875 
100,980.66328125,3434.290625 
110,1196.79296875,4112.80859375 
120,1444.740625,4909.71875 
130,1834.54296875,5707.38203125 
140,2267.8703125,6799.91640625 
150,2889.57265625,7828.7203125 
160,3578.91640625,8887.6953125 
170,4364.1078125,10186.45546875 
180,5260.67109375,11551.2046875 
190,6311.06796875,13170.5484375 
200,7522.9234375,14984.9171875 
210,8992.9046875,17175.525 
220,10668.68125,19910.465625 
230,12631.21328125,23062.346875 
240,14373.28046875,25822.071875 
250,16066.36328125,28609.06953125 
260,16730.1140625,29355.0296875 
270,16732.2515625,29357.3046875 
280,16732.2515625,29357.3046875 
