time,users,connected 
0,7,7 
10,19,12 
20,20,0 
30,24,5 
40,39,13 
50,39,-3 
60,41,5 
70,64,24 
80,80,10 
90,100,21 
100,160,64 
110,230,70 
120,324,92 
130,429,107 
140,498,68 
150,577,80 
160,699,119 
170,771,67 
180,917,45 
190,1174,51 
200,1288,31 
210,1638,88 
220,2330,97 
230,2417,62 
240,2417,-16 
250,2417,-612 
260,2417,-505 
270,2417,-2 
280,2417,0 
