time,size_sent,size_rcv 
0,7.60703125,1498.15 
10,33.4578125,3772.7453125 
20,76.42421875,6803.67421875 
30,115.35859375,9836.18046875 
40,171.16328125,14874.1234375 
50,235.20078125,19678.88984375 
60,310.86953125,25747.50859375 
70,408.415625,34820.9578125 
80,551.5609375,45682.4609375 
90,708.68359375,54571.18828125 
100,850.73203125,64665.5484375 
110,983.86875,76976.5109375 
120,1185.2234375,86360.06484375 
130,1488.9578125,99355.32265625 
140,1903.69296875,109969.984375 
150,2356.8140625,120915.19375 
160,2899,130683.78046875 
170,3488.03515625,140086.55 
180,4203.7578125,150672.55 
190,5040.2828125,159515.68203125 
