time,users,connected 
0,11,11 
10,21,23 
20,18,18 
30,19,22 
40,34,34 
50,31,32 
60,45,45 
70,74,74 
80,82,80 
90,145,144 
100,216,214 
110,262,263 
120,364,362 
130,436,433 
140,479,476 
150,583,580 
160,704,701 
170,774,769 
180,1030,845 
190,1262,880 
