time,users_count,finish_users_count 
0,1.1,0 
10,1.3,0.3 
20,0.6,0.9 
30,1.5,1.4 
40,2.2,0.7 
50,1.5,1.8 
60,3.5,2.1 
70,3.9,1 
80,4.3,3.5 
90,9.5,3.2 
100,8.6,1.5 
110,6.4,1.8 
120,12.5,2.3 
130,13.8,6.6 
140,15.2,10.9 
150,27.4,17 
160,32.7,20.6 
170,31.6,24.6 
180,58.8,33.2 
190,62.4,39.2 
