time,users_count,finish_users_count 
0,11,0 
10,24,3 
20,30,12 
30,45,26 
40,67,33 
50,82,51 
60,117,72 
70,156,82 
80,199,117 
90,294,149 
100,380,164 
110,444,182 
120,569,205 
130,707,271 
140,859,380 
150,1133,550 
160,1460,756 
170,1776,1002 
180,2364,1334 
190,2988,1726 
