time,cpu@tsung_controller@ip-172-31-45-17 
0,3.0883362999870596 
10,3.0883362999870596 
20,3.0883362999870596 
30,3.0883362999870596 
40,3.0883362999870596 
50,3.0883362999870596 
60,3.0883362999870596 
70,3.0883362999870596 
80,3.0883362999870596 
90,3.0883362999870596 
100,3.0883362999870596 
110,3.0883362999870596 
120,3.0883362999870596 
130,3.4808552958727 
140,3.790523690773067 
150,3.790523690773067 
160,5.591612581128307 
170,6.428930185836264 
180,9.481481481481481 
190,15.755785327424915 
200,18.79775853285787 
210,22.239185750636132 
220,25.672877846790893 
230,30.909090909090907 
240,36.40973630831643 
250,36.40973630831643 
260,36.40973630831643 
270,36.40973630831643 
