time,error_connection_closed,error_send_einval 
250,0.2, 
260,0.1,0.1 
270,0,0.1 
280,0,0 
290,0.1,0 
300,0,0 
310,0,0 
320,0,0 
330,0,0 
340,0,0 
350,0,0 
353,0,0 
