time,load@tsung_controller@ip-172-31-45-17 
0,0.23828125 
10,0.23828125 
20,0.23828125 
30,0.23828125 
40,0.23828125 
50,0.23828125 
60,0.23828125 
70,0.23828125 
80,0.23828125 
90,0.23828125 
100,0.23828125 
110,0.23828125 
120,0.23828125 
130,0.23828125 
140,0.23828125 
150,0.23828125 
160,0.3984375 
170,0.421875 
180,0.421875 
190,0.421875 
200,0.421875 
210,0.421875 
220,0.421875 
230,0.421875 
240,0.421875 
250,0.421875 
260,0.421875 
270,0.421875 
280,0.5703125 
290,0.5703125 
300,0.5703125 
310,0.5703125 
320,0.5703125 
330,0.5703125 
340,0.5703125 
350,0.5703125 
353,0.5703125 
