time,users,connected 
0,3,1 
10,6,3 
20,6,-2 
30,8,0 
40,10,7 
50,10,-4 
60,12,5 
70,12,-5 
80,13,6 
90,25,13 
100,25,-7 
110,25,-9 
120,33,23 
130,41,-2 
140,44,-2 
150,86,51 
160,86,-30 
170,90,13 
180,139,70 
190,149,8 
200,153,1 
210,298,116 
220,315,-7 
230,315,26 
240,898,520 
250,908,5 
260,911,-3 
270,1484,105 
280,1484,5 
290,1484,28 
300,1488,-935 
310,1488,0 
320,1488,0 
330,1488,0 
340,1488,0 
350,1488,0 
353,1488,0 
