time,error_connection_closed,error_send_einval 
250,2, 
260,3,1 
270,3,2 
280,3,2 
290,4,2 
300,4,2 
310,4,2 
320,4,2 
330,4,2 
340,4,2 
350,4,2 
353,4,2 
