time,page 
0,0.7 
10,2.7 
20,2.4 
30,3.4 
40,3.7 
50,3.8 
60,6.9 
70,5.5 
80,7.3 
90,14.2 
100,14.5 
110,13.3 
120,21.7 
130,32.2 
140,33.6 
150,55.9 
160,58.9 
170,62.2 
180,99.8 
190,123.4 
200,134.3 
210,209.9 
220,257.2 
230,233.4 
240,329.6 
250,492.3 
260,493.3 
270,831.5 
280,1034.3 
290,1012.3 
300,424.2 
310,0 
320,0 
330,0 
340,0 
350,0 
353,0 
