time,502,200,500,302 
120,23.7,11.8,,9.1 
130,51.1,15.2,,8.6 
140,43.2,11.1,,9 
150,78.2,14.1,,8.2 
160,103.4,15.7,,7.4 
170,101.7,13.5,,8.6 
180,196.5,12.4,,7.4 
190,244.6,11.7,,8.3 
200,235.1,13.6,,7 
210,417,14,,6.6 
220,447,12.5,,7.8 
230,475,11.1,,7.3 
240,108.6,10.2,,8.1 
250,0,12,0.4,10.2 
260,0,21,0.3,11.5 
262,0,0,0,0 
