time,nomatch,match,match_stop 
120,51,321,51 
130,183,357,183 
140,299,400,299 
150,485,440,485 
160,759,478,759 
170,1001,512,1001 
180,1475,546,1475 
190,2084,583,2084 
200,2689,622,2689 
210,3691,652,3691 
220,4800,689,4800 
230,5993,718,5993 
240,6383,753,6383 
250,6383,819,6383 
260,6383,919,6383 
262,6383,919,6383 
