time,cpu@tsung_controller@ip-172-31-52-223 
0,1.5578041483174774 
10,0.5502751375687844 
20,0.35035035035035034 
30,0.6003001500750376 
40,0.6003001500750376 
50,0.8012018027040559 
60,0.5 
70,0.9013520280420632 
80,1.7999999999999998 
90,1.899050474762619 
100,1.2980529206190714 
110,1.7928286852589643 
120,1.105527638190955 
130,2.359437751004016 
140,3.0211480362537766 
150,3.1 
160,4.0703517587939695 
170,3.857868020304569 
180,3.7150127226463106 
190,6.172839506172839 
200,7.072282891315653 
210,6.973140495867769 
220,12.90994273815721 
230,13.555787278415016 
240,12.427593470247498 
250,2.481012658227848 
260,1.9509754877438719 
262,2.493765586034913 
