time,502,200,500,302 
120,237,1094,,734 
130,748,1246,,820 
140,1180,1357,,910 
150,1962,1498,,992 
160,2996,1655,,1066 
170,4013,1790,,1152 
180,5978,1914,,1226 
190,8424,2031,,1309 
200,10775,2167,,1379 
210,14945,2307,,1445 
220,19415,2432,,1523 
230,24165,2543,,1596 
240,25251,2645,,1677 
250,25251,2765,4,1779 
260,25251,2975,7,1894 
262,25251,2975,7,1894 
